d1,d2,d3,d4,d5,validloss
0.2,0.1,0.0,0.0,0.1,0.60570806
0.1,0.2,0.0,0.2,0.2,0.6057564
0.1,0.2,0.2,0.0,0.0,0.6057619
0.1,0.2,0.0,0.0,0.1,0.60577446
0.0,0.0,0.1,0.2,0.2,0.6058039
0.0,0.0,0.2,0.2,0.1,0.60581976
0.0,0.0,0.0,0.1,0.1,0.6058834
0.0,0.1,0.1,0.2,0.0,0.6059129
0.1,0.0,0.1,0.2,0.1,0.60593396
0.2,0.1,0.1,0.1,0.1,0.6059475
0.2,0.1,0.2,0.0,0.1,0.60595024
0.1,0.2,0.2,0.2,0.1,0.60596293
0.1,0.1,0.2,0.0,0.0,0.60604477
0.1,0.2,0.2,0.1,0.1,0.6060503
0.0,0.1,0.0,0.1,0.0,0.6061075
0.0,0.1,0.0,0.2,0.2,0.6061119
0.2,0.2,0.0,0.0,0.1,0.6061127
0.0,0.0,0.0,0.2,0.2,0.60612196
0.0,0.1,0.2,0.0,0.1,0.6061762
0.1,0.1,0.0,0.2,0.0,0.6061979
0.1,0.2,0.0,0.1,0.1,0.6062113
0.0,0.0,0.2,0.0,0.2,0.60621166
0.0,0.0,0.0,0.2,0.0,0.60622203
0.1,0.2,0.0,0.2,0.1,0.60633963
0.2,0.0,0.0,0.2,0.0,0.60639095
0.0,0.1,0.1,0.0,0.2,0.6064397
0.0,0.1,0.1,0.0,0.1,0.60665417
0.2,0.2,0.0,0.1,0.0,0.6067372
0.2,0.2,0.0,0.0,0.2,0.60706955
0.2,0.0,0.0,0.0,0.0,0.6073125
0.0,0.1,0.2,0.2,0.1,0.6073174
0.2,0.2,0.2,0.2,0.1,0.6073217
0.1,0.0,0.1,0.0,0.0,0.60737747
0.0,0.0,0.1,0.1,0.1,0.6073858
0.2,0.2,0.2,0.0,0.0,0.60740685
0.2,0.2,0.2,0.1,0.2,0.6075708
0.2,0.1,0.1,0.0,0.0,0.6075819
0.2,0.2,0.2,0.1,0.0,0.6076147
0.0,0.2,0.2,0.1,0.0,0.60780364
0.1,0.2,0.1,0.0,0.2,0.60781014
0.2,0.1,0.2,0.2,0.0,0.60785854
0.1,0.1,0.0,0.0,0.0,0.6079019
0.1,0.2,0.1,0.1,0.2,0.60832804
0.0,0.0,0.0,0.1,0.0,0.60833246
0.1,0.2,0.0,0.0,0.2,0.60841113
0.2,0.2,0.1,0.1,0.1,0.6086209
0.2,0.1,0.0,0.1,0.1,0.60864365
0.0,0.0,0.1,0.0,0.0,0.60886663
0.0,0.2,0.2,0.2,0.0,0.60917753
0.0,0.1,0.2,0.1,0.1,0.60957325
0.1,0.0,0.0,0.0,0.0,0.6119744
0.2,0.1,0.2,0.1,0.1,0.61454463
